Unnamed: 0,id,cluster_id,type,decision_text,date_filed,scdb_decision_direction
3,103341,103341,010combined,"In this paper, Justice Black defends the provisions in the Raker act granting the City of San Francisco authority to sell and transfer power from the Pacific Gas and Electric Company. The court disagrees with the district court's interpretation of the terms of the contract; it finds that the City is not selling or allowing any private utility to do business with the City. However, the government contends that the prohibition on sale and distribution does not violate the Constitution's provision prohibiting ""any private person, corporations, or association"" from entering into an agreement to sell or distribute power. It also asserts that there are no restrictions on the ability of public officials to use the power for their own purposes. This argument continues in the House when Senator Mc-Camper attempts to amend the bill to include more provisions regarding the generation, sales, and distribution of power. But the Senate passes the bill without even considering the provisions concerning the purchase and sale of power by private companies.",1940-05-20,2.0
6,9419101,103344,020lead,"In this case, the foreign corporations brought by their employees against Virginia's insurance laws appeal to the Supreme Court to acquit them of violations of the law. The court finds that Virginia has violated the Constitution's guarantee of freedom of action when it comes to ""state action."" It is not Virginia'S province to regulate the conduct of its insurance companies outside her borders; rather, it is state power that determines what can be done.",1940-04-22,2.0
7,9419102,103344,040dissent,"In this case, Justice Roberts disagrees with the Court's decision that Virginia has the power to enforce insurance contracts outside her jurisdiction. He argues that it is unfair for a foreign agent to countersign an agreement signed by a Virginia resident who does not live in Virginia because the contract will be governed by another state.",1940-04-22,1.0
11,103348,103348,010combined,"In this case, the Court argues that a local law prohibits any person from carrying or showing signs in the area of a workhouse or other public space. The plaintiff, an employee of one of twenty-one men who was involved in a picketing activity on U.S. Highway 99, is charged with violating the anti-picketing law. The court finds him guilty of the act and sentences him to serve time in jail for the crime. On the appeal, the Supreme Court decides that the ban on pickingets violates the Fourth Amendment.",1940-05-20,2.0
13,103350,103350,010combined,"In this case, Reed argues that the railroads Boston and Providence were subject to a bankruptcy proceeding because they were not a separate entity. The New York, Connecticut, and Hartford Railroad were all under reorganized under  7 of the Bankrash Act 1, which provides for the separation of property and debt after a certain period of time has passed. The Old Colonies had been operating under a different lease than the New Haven/Old Colony since 1899. Because the Newhaven trustees refused to continue operation as part of the old colony, it was assumed that the lessor would be obligated to pay back the loan. However, in 1939, an order was issued declaring a ""first lien"" on the Boston-Providence road. This is due to the fact that the Massachusetts district court does not have jurisdiction over the claims of those who are responsible for running the road. If the state court determines that there is a sufficient amount of money to pay off the debtor, then the owner of the road will be able to recover the balance without having to go through another bankruptcy court.",1940-04-29,1.0
14,9419105,103352,020lead,"Douglas defends the conspiracy against charges of price fixing. He argues that it was necessary and proper to raise prices in order to maintain stability in the domestic market. The buying program, which began in February 1935, worked effectively as a means for raising prices throughout the mid-Western region. However, the purchasing programs were not entirely successful because they did not involve an agreement to sell at a uniformly high price.",1940-06-03,2.0
15,9419106,103352,040dissent,"In this case, Justice Roberts dissents from the court's decision that the conspiracy to raise prices in the Midwest is not illegal. The only allegation against the conspirators is that the price of gas at the spot market affects the retail price of the product sold by jobbers in the Western district of Wisconsin. Paragraph 17, the only definition of the charged conspiracy, describes the conspiracy as ""artificially raised and fixing the Tank Car Prices of Gas in the mentioned spot markets."" It further alleges that they have artificially increased and fixed these spot market car prices for the purposes of artificially increasing and fixing general levels of retail prices within the Midwestern region. This includes buying large quantities of fuel from independent refinerys in order to increase the overall level of sales in the area; it also charges that each defendant has arbitrarily exactlyed from jobs within the district large amounts of money. Although the accused major oil companies did not enter into an agreement to sell jobbebers or retailers in the West District of Wisconsin, evidence does not support any such agreement. However, the government concedes that there was some agreement among the defendants regarding the price atwhich gasoline should be purchased. At trial, however, the jury found those who committed the conspiracy had the power and agreed to fix prices. They were convicted on the grounds that their actions had in no degree contributed to raising prices. The court instructed the jury to find that the combination existed and agreeed to make prices go up. The jury found that the combined company had the ability to raise the average price of domestically produced gasoline. If the purchase of distressed gasoline caused prices to rise, then the jury must conclude that the purchases were reasonable and beneficial but not injuriously to the public interests. Finally, the court dismisses the argument that the men fired with the enthusiastic enthusiasm of crusesaders.",1940-06-03,1.0
16,103353,103353,010combined,"In this case, the Court argues that the respondent's vessels are entitled to ""Maritime Liens"" for fuel oil. The owners of two vessels, Stjerneborg and Brand, agree to pay for their supplies on time. The parties in these charters do not have the authority to create a lien on the vessels because they are subject to the terms of contract. However, the court disagrees with the argument that the vessel is bound by its terms without any prohibition against creating a maritime loan. It is decided that the owner has the right to obtain necessary repairs or supplies on the vessel when it is ordered by the owner.",1940-05-20,2.0
17,103354,103354,010combined,"The Court finds that petitioner's patent is invalid because of ""laches"" and that the machine may continue to be used. The court also dismisses two intervening rights lawsuits, one claiming that the manufacturer acquired these rights while the other alleged infringement by an enlarged claim. The district court correctly concludes that there was no evidence of knowledge of or use of the patent before the invention was invented. The case furthermore discusses the provisions under the Patent Act for reissuances. The provision states that any person who has been granted a new patent must surrender it and amend the original specification or claim within two years. This means that if the original patent is not valid, then the owner can renew the patent without incurring any additional costs. In this case, however, the inventor cannot have more than two years of public enjoyment of his invention before the time of the ensuing action. Therefore, the only relief available from the courts is to grant revokement when the original claims are too narrow. However, even if they were originally issued with broad claims, the fact that the claimed machines did not come within the patent does not matter.",1940-05-20,1.0
18,103355,103355,010combined,"In this paper, Justice Roberts defends the charges of Newton Cantwe and his two children, Jesse & Russell, who are members of Jehouah's Witnesseses. The charges against them relate to solicitation of money or services for religious causes; they were arrested on three counts: 1) a violation under  6394 of the general statutes of Connecticut 2) a commission of the Common Law offense of inciteing a break of the peace and 3) a charge of commission of ""inciting a broken of the Peace."" On their appeal to the state Supreme Court, they claimed that the law was offensive to due process because it denied them free speech and prevented their freedom of religion. They asserted that the constitution did not violate the due process Clause of the Four fourteenth Amendment. However, the court found that the statute was constitutional as an attempt by the state to protect the people against fraud and impregnating funds for what Purported To be Religious, Charitable, or Philanthropic Causes. It was the solicitations that brought the plaintiffs into the sweep ofthe Act and not other activities in spreading literature. The court found no evidence that Cantwell was personally offensive with those whom he asked him to interview. The case furthermore relied on the First Amendment declaring that Congress shall never make any law respecting establishment of religion nor prohibiting its free exercise there. The First Amendment states that Congress may make no laws respecting an established religion or deny the free exercise here. The Second Amendment says that Congress must regulate the time, places, and manner of asking upon its streets and of holding meeting thereon. If the petitioner does not request a certificate from the Secretary of the Public Welfare Council, then the officer will have to decide whether the cause belongs to religion or not. He is allowed to refuse the license if based on facts, judgment, and formation of opinion. The Fifth count charged cantwell with commission of breach of the peaceful. This crime includes violent acts but also words likely to create violence in others",1940-05-20,2.0
19,103356,103356,010combined,"This case concerns the question of whether the bankruptcy courts may allow mortgage liens to be sold under the terms of the deedas of trust. The husband and wife are farmers who borrowed money from the bank in order to secure their loans. They were not able to pay back their debts, so they petitioned for an adjudication. The court granted the petition but did not grant any further proceedings until May 6, 1935. On September 20, 1935 Borchard submitted a petition to the district court asking that appraiseers be appointed and that his property be put aside. He also requested that the bank release its claim to the orange crop. However, the judge refused to do so because the bank had no lien on the crop. In 1938, the bank tried to leave the property to the petitioners as long as it was clear that the loan would not bring enough money to pay off the debts. The creditors appealed against the court's action and the court affirmed the decision.",1940-05-20,2.0
21,103358,103358,010combined,"The Federal Carriers Act of 1935 prohibits forwarders from discriminating against shippers on the basis that they provide lower prices for freight than other shipper's rates. The Court remands the order under which the carriers were ordered to cancel certain proposed tariff provisions, finding that these provisions violate the Constitution's guarantee of equality of treatment between shippers and forwarders. In addition, the court finds that the rate charged by the carriers will not be as favorable to shippers as it is to individual shippers.",1940-05-20,2.0
22,103360,103360,010combined,"In this case, the Supreme Court argues that the railroad assessors violate the due process clause of the Constitution because they misapply the value of property in different states. The court disagrees with the state courts and concludes that the Railroad's overassesment constitutes no ""deprivation.""",1940-05-20,2.0
23,103361,103361,010combined,"Douglas defends the President's proclamation granting an increase in duty on cannons from Japan. The Constitution does not allow Congress to levy higher prices on imports, so the Tariff Reform Act of 1930 allows Congress to do just that. In order to equalize costs between domestic and foreign products, the president has to impose a higher duty on foreign goods. However, the rate of duties recommended by the commission cannot be increased because the differences in costs are so great. The Court appeals to the Supreme Court to reaffirm the validity of the Proclamations. It is held that the price of Japanese canned items must be converted to United States dollars as stipulated in the Act.",1940-05-20,1.0
26,103364,103364,010combined,"In this case, the Federal H.A. became the assigner of a decedent's estate. The claim was denied by the county judge in Florida because it was not filed during the eight-month period prescribed by the state law. The court ruled that the claim is void because the personal representative did not recognize the claim or demand within the time required by the statute. This opinion is supported by the Supreme Court's decision which ruled against the federal government on the grounds that the state laws do not limit the time for a person to file a claim.",1940-05-27,2.0
27,103365,103365,010combined,"In this case, Hamilton argues that the New Jersey Bridge Commission must be granted authority to acquire property by ""purchase or by endemonament"" in order to pay for damages caused by the construction of an abutments on land adjacent to the rear of the property owned by respondents. The court finds that the petitioner is not entitled to recover damages under state law because the compact does not explicitly allow for such actions. However, the New York Court of Erors and Appeal affirmed the judgment of the Supreme Court.",1940-05-27,2.0
28,103366,103366,010combined,"Justice Stone defends respondent's petition to a bankruptcy judge for an adjustment of its debentary debts. He argues that it is inadequate because the relief available under Chapter I is inadequate and that the court cannot intervene in the proceeding by intervening. The court dismisses the petition, but rejects the request for intervention by the commission. The question of whether the court can intervene on behalf of the public interest or against the wishes of a private party is presented.",1940-05-27,2.0
29,9419107,103367,020lead,"In this case, the petitioner is a Pennsylvania manufacturer who ships interstate commerce with a substantial portion of its product. The respondent Federalistically-affiliated labor organization and its officers bring suit against petitioner for trebleing the amount of damages it has caused in connection with an interstate trade strike. The jury finds that the evidence does not show intent on the parts of the responders to restrain ""interstate commerce."" However, the court determines that the entire value of the product shipped from petitioner' factory is less than three percent of the total volume of goods shipped in the country. The Court dismisses the claim that the inter state commerce restrained by the respondent's actions was unsubstantive because the total number of products shipped from Petitioner's plant was less than 3 percent of what the entire industry could produce. Although the facts are uncontroversial, there is sufficient evidence to support the charge that the strike prevents the flow of merchandise into interstate Commerce. The question then arises whether or not the effect of strikes on interstate transportation constitutes a prohibition under the Sherman Antitrust Act. The Supreme Court recognizes that Congress did not intend to prohibit labor unions from operating the law; rather, it was intended to protect competition in the marketplace. Thus, the antitrust provisions do not apply to any contract, combination, or conspiracy in restrainting trade or commerce as long as the activities involved involve interstate business.",1940-05-27,1.0
30,9419108,103367,040dissent,"In this brief, Justice Hughes argues that the antitrust provisions of the Sherman act do not apply to unions because they are not members of the union. However, the court does find that there is a conspiracy by workers to prevent interstate commerce from occurring. The term ""commerce"" refers to the transportation of finished goods across state lines and therefore cannot be used as a reference to such activities. Therefore, the Court concludes that it is unreasonable for an employer or employee to impose restraint on interstate trade in order to prevent the movement of these goods.",1940-05-27,1.0
